transformation,replica,state,frame,distance,angle1,angle2,torsion1,torsion2,torsion3,arc_length1,arc_length2,d0
CHEMBL1082249~CHEMBL1077227,replica-0,0,22,18.41311,54.283863,80.935135,1.8819522,-12.781661,62.080246,17.445171,26.010077,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,23,18.47829,53.20235,79.971886,0.2758665,-16.622107,53.58982,17.15813,25.791494,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,24,18.271744,59.940838,82.294365,-14.400981,-3.1968954,52.210587,19.11526,26.243843,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,24,0,19.440065,57.454628,67.711586,27.174135,-81.70761,84.66922,19.493961,22.974077,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,1,18.98944,64.94217,67.86233,8.951308,-77.83135,87.645996,21.52367,22.491493,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,2,19.090942,63.328205,65.95907,3.8175442,-70.52811,86.354256,21.100945,21.977549,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,3,18.756779,57.871914,70.641045,10.465471,-86.872574,81.39937,18.945387,23.125584,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,4,18.843002,60.00457,66.37256,23.691988,-83.184074,79.37312,19.733849,21.828104,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,5,19.202454,59.20072,66.45684,11.256855,-84.983665,100.33783,19.840887,22.272747,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,6,18.884138,59.088604,67.24321,4.935579,-80.80703,82.633514,19.475035,22.162716,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,7,19.193392,60.6719,64.801476,8.584184,-88.1026,98.09643,20.324352,21.707708,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,8,19.107231,42.56784,68.71369,-14.753883,-80.678246,93.02849,14.195697,22.914923,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,9,19.144598,58.592785,65.24416,15.78782,-81.01744,80.0231,19.577974,21.80044,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,10,19.404873,57.04189,66.341286,10.86,-87.658,86.66301,19.318886,22.468395,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,11,19.210836,58.458744,63.084927,-3.0083873,-74.33906,88.39866,19.600769,21.151892,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,12,19.021406,59.433376,65.50262,11.26379,-84.53346,90.86892,19.731058,21.745962,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,13,19.183174,52.913128,63.16371,18.298998,-55.92844,76.5128,17.71582,21.147814,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,14,19.341543,57.922615,64.68756,-0.3939076,-63.206898,96.74845,19.553146,21.836813,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,15,19.015505,55.082558,66.89247,9.332,-77.928734,88.02112,18.280973,22.200485,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,16,18.89977,71.689804,70.03437,-1.975978,-69.51307,70.77041,23.64783,23.101763,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,17,19.162022,57.94305,62.041485,-2.5916433,-80.83783,83.2223,19.378494,20.749176,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,18,19.095165,51.644768,66.78965,8.583714,-81.88602,75.42825,17.211832,22.25922,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,19,18.796589,76.48399,63.595455,-3.1206229,-63.461796,91.19986,25.09152,20.863276,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,20,19.071512,54.659004,63.716938,3.9919686,-67.08372,83.662704,18.193834,21.208862,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,21,19.079763,60.80162,62.754223,-0.5802498,-70.5424,72.42503,20.247225,20.89745,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,22,19.248903,60.595806,63.45613,-1.4332867,-63.339214,86.16014,20.357569,21.318516,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,23,19.143333,58.210636,66.74119,6.9459786,-70.44008,84.59256,19.449,22.299177,19.108155965805054
CHEMBL1082249~CHEMBL1077227,replica-0,24,24,18.981056,58.677425,68.26095,19.298887,-67.31487,72.23867,19.43877,22.613617,19.108155965805054
CHEMBL1086409~CHEMBL1084431,replica-0,0,0,18.323767,54.06716,106.25772,-133.52867,102.87658,-35.356018,17.291224,33.98229,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,1,18.603363,50.88381,110.79409,-127.44447,118.52295,-38.353516,16.52146,35.973724,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,2,18.513643,57.492184,111.884476,-113.911705,105.27728,-37.028633,18.577105,36.15256,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,3,18.748127,63.298027,107.56364,-122.45059,108.44299,-43.616116,20.712162,35.1966,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,4,18.734905,50.895927,111.178635,-126.25935,105.39785,-35.886253,16.642244,36.353832,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,5,18.366762,65.82822,108.82868,-126.42212,91.184296,-31.400105,21.101925,34.886173,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,6,18.317629,56.62824,108.86207,-127.44214,134.6583,-31.047575,18.104214,34.803524,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,7,18.759161,57.843807,102.51935,-140.90273,98.60406,-47.807545,18.938591,33.56577,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,8,18.556898,46.893967,112.61064,-126.3776,109.14014,-43.519287,15.187969,36.472218,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,9,18.458458,65.56678,105.49441,-117.54835,97.28752,-39.06938,21.123049,33.98617,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,10,18.830904,62.382454,103.8176,-118.966736,95.43286,-43.970577,20.502697,34.120823,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,11,18.514425,58.983562,109.42807,-135.53423,99.63126,-28.75789,19.05981,35.360332,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,12,18.650606,52.895832,106.793106,-144.28102,101.66886,-28.688892,17.218359,34.762703,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,13,18.681923,70.29158,108.465294,-139.82504,104.42548,-38.058006,22.919348,35.366306,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,14,18.513365,60.48371,107.564896,-133.31146,96.41877,-28.057646,19.543446,34.75628,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,15,18.542273,46.25802,105.4524,-122.99122,108.88276,-45.42426,14.970191,34.126896,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,16,18.528387,59.83901,107.29603,-141.8805,105.69348,-30.217236,19.350819,34.697536,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,17,18.289907,62.819496,111.26232,-132.55957,95.54928,-38.339466,20.053185,35.51706,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,18,18.64433,52.598114,105.15669,-125.043144,99.05019,-24.09298,17.115685,34.218506,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,19,18.738234,64.609535,107.97561,-118.825966,108.04839,-47.157417,21.130152,35.31276,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,20,18.645622,68.34673,109.92516,-113.82319,105.29154,-41.93352,22.241905,35.77267,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,21,18.652391,57.72597,114.51829,-118.156075,108.65598,-28.954742,18.792439,37.28093,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,22,18.299435,56.367996,106.67049,-141.55086,114.4025,-33.8465,18.003113,34.068993,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,23,18.778593,62.07647,106.13857,-131.17923,90.4543,-40.70768,20.345455,34.786736,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,0,24,18.442842,58.234726,108.97772,-133.16597,108.37338,-41.082256,18.745079,35.078655,18.5406231880188
CHEMBL1086409~CHEMBL1084431,replica-0,24,0,18.338531,40.54784,60.827957,-136.59778,63.7349,151.45824,12.978057,19.469069,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,1,18.319996,45.587612,60.949715,-130.019,66.82125,132.53784,14.576377,19.48832,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,2,18.078043,56.699467,61.002563,-144.48651,51.65802,145.85591,17.889893,19.247612,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,3,18.291273,49.163544,54.079132,-139.71622,61.010468,123.69284,15.695114,17.264381,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,4,18.50163,60.679184,60.261463,-125.03058,56.338894,146.94334,19.59418,19.459291,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,5,18.32491,57.233288,61.39717,-137.82191,76.30424,129.51682,18.304922,19.636658,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,6,18.38565,62.353363,57.160213,-129.68153,62.420887,108.3249,20.00858,18.34215,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,7,18.25412,56.820385,59.904106,-144.25403,53.039505,131.62807,18.102661,19.085117,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,8,18.295704,47.572018,57.70353,-138.86401,76.78703,140.68733,15.19071,18.425907,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,9,18.29842,61.20424,56.533417,-100.94,58.718613,129.6245,19.546656,18.054947,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,10,18.222353,61.658985,58.121933,-123.88901,37.961243,141.0835,19.610027,18.485102,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,11,18.417412,68.50287,51.927452,-147.40791,69.844765,126.749695,22.019869,16.691793,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,12,18.296963,50.213314,65.454956,-119.55166,64.06084,118.96387,16.035233,20.90253,18.2747745513916
